id,correct
0,1
1,1
2,1
3,1
4,1
5,1
6,0
7,1
8,0
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,0
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,0
29,0
30,1
31,1
32,1
33,1
34,0
35,1
36,0
37,1
38,1
39,0
40,1
41,1
42,0
43,0
44,0
45,1
46,1
47,1
48,0
49,1
50,0
51,1
52,1
53,0
54,0
55,0
56,1
57,1
58,1
59,1
60,0
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,0
69,0
70,1
71,1
72,0
73,1
74,0
75,1
76,1
77,1
78,1
79,0
80,1
81,1
82,1
83,1
84,1
85,1
86,0
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,0
98,1
99,1
100,0
101,1
102,1
103,1
104,1
105,0
106,1
107,1
108,0
109,1
110,0
111,1
112,1
113,1
114,0
115,1
116,0
117,0
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,0
127,1
128,1
129,1
130,0
131,1
132,1
133,1
134,1
135,0
136,1
137,0
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,0
148,1
149,1
150,1
151,1
152,1
153,0
154,1
155,1
156,0
157,1
158,1
159,0
160,1
161,1
162,1
163,0
164,1
165,0
166,0
167,1
168,1
169,1
170,0
171,0
172,0
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,0
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,0
191,0
192,0
193,0
194,1
195,1
196,0
197,0
198,1
199,1
200,0
201,1
202,0
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,0
218,1
219,1
220,0
221,0
222,1
223,1
224,1
225,1
226,1
227,0
228,1
229,1
230,1
231,1
232,0
233,0
234,1
235,0
236,1
237,1
238,1
239,1
240,1
241,1
242,0
243,0
244,0
245,1
246,1
247,1
248,1
249,0
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,0
259,1
260,1
261,1
262,0
263,0
264,1
265,0
266,0
267,1
268,0
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,0
283,0
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,0
294,0
295,1
296,1
297,1
298,1
299,1
300,0
301,1
302,1
303,1
304,0
305,0
306,1
307,1
308,0
309,1
310,1
311,0
312,1
313,1
314,0
315,1
316,0
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,0
325,1
326,0
327,0
328,0
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,0
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,0
352,1
353,0
354,1
355,1
356,1
357,1
358,1
359,0
360,1
361,0
362,1
363,1
364,1
365,1
366,1
367,1
368,0
369,1
370,1
371,1
372,0
373,0
374,0
375,1
376,1
377,0
378,0
379,0
380,0
381,0
382,0
383,1
384,1
385,0
386,1
387,1
388,1
389,1
390,0
391,0
392,1
393,1
394,0
395,0
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,0
409,1
410,0
411,0
412,1
413,0
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,0
424,1
425,0
426,1
427,0
428,1
429,1
430,0
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,0
443,1
444,1
445,0
446,1
447,1
448,0
449,1
450,1
451,0
452,1
453,1
454,1
455,0
456,0
457,1
458,1
459,1
460,1
461,0
462,1
463,1
464,1
465,1
466,0
467,0
468,1
469,0
470,1
471,1
472,1
473,1
474,1
475,0
476,1
477,1
478,0
479,0
480,0
481,1
482,0
483,1
484,1
485,0
486,1
487,0
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,0
500,0
501,1
502,1
503,1
504,0
505,1
506,0
507,1
508,1
509,1
510,0
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,0
520,0
521,1
522,1
523,0
524,1
525,1
526,1
527,1
528,1
529,0
530,0
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,0
540,1
541,0
542,0
543,0
544,1
545,1
546,1
547,0
548,0
549,1
550,1
551,1
552,0
553,1
554,1
555,0
556,0
557,1
558,0
559,1
560,1
561,1
562,0
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,0
571,1
572,0
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,0
581,1
582,1
583,1
584,0
585,1
586,1
587,1
588,0
589,1
590,0
591,1
592,1
593,1
594,1
595,1
596,1
597,0
598,1
599,1
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,1
616,1
617,0
618,1
619,0
620,1
621,1
622,1
623,1
624,0
625,1
626,1
627,0
628,1
629,1
630,0
631,1
632,0
633,0
634,1
635,1
636,1
637,1
638,1
639,0
640,1
641,1
642,1
643,1
644,1
645,0
646,1
647,1
648,0
649,1
650,0
651,0
652,1
653,0
654,1
655,0
656,1
657,1
658,0
659,1
660,1
661,1
662,0
663,1
664,1
665,0
666,0
667,1
668,0
669,1
670,0
671,0
672,1
673,1
674,1
675,1
676,0
677,0
678,0
679,1
680,1
681,1
682,1
683,1
684,0
685,1
686,1
687,1
688,1
689,1
690,0
691,1
692,0
693,0
694,0
695,1
696,1
697,0
698,1
699,1
700,1
701,1
702,1
703,1
704,0
705,1
706,1
707,1
708,1
709,0
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,0
720,1
721,1
722,1
723,0
724,1
725,1
726,1
727,1
728,1
729,1
730,1
731,0
732,1
733,1
734,1
735,1
736,1
737,1
738,1
739,1
740,1
741,1
742,1
743,1
744,1
745,1
746,1
747,0
748,1
749,0
750,1
751,0
752,0
753,1
754,0
755,1
756,1
757,0
758,1
759,1
760,0
761,1
762,1
763,1
764,0
765,1
766,0
767,0
768,1
769,1
770,1
771,1
772,1
773,0
774,0
775,0
776,1
777,1
778,0
779,0
780,1
781,1
782,1
783,1
784,0
785,0
786,1
787,1
788,0
789,1
790,0
791,0
792,1
793,0
794,0
795,1
796,1
797,1
798,0
799,1
800,1
801,1
802,1
803,1
804,1
805,0
806,1
807,0
808,0
809,1
810,1
811,0
812,0
