id,correct
0,1
1,1
2,1
3,1
4,1
5,0
6,0
7,0
8,1
9,1
10,1
11,0
12,0
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,0
24,1
25,0
26,1
27,1
28,1
29,0
30,1
31,1
32,1
33,1
34,0
35,0
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,0
46,1
47,1
48,1
49,1
50,1
51,0
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,0
60,1
61,0
62,1
63,1
64,0
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,0
73,1
74,1
75,1
76,1
77,0
78,0
79,1
80,0
81,0
82,1
83,0
84,1
85,1
86,0
87,0
88,0
89,1
90,1
91,1
92,0
93,1
94,0
95,0
96,0
97,1
98,0
99,1
100,0
101,1
102,1
103,1
104,1
105,0
106,1
107,0
108,0
109,1
110,1
111,0
112,1
113,1
114,1
115,0
116,1
117,0
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,0
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,0
138,0
139,1
140,1
141,0
142,1
143,1
144,0
145,1
146,1
147,0
148,1
149,0
150,1
151,1
152,0
153,1
154,1
155,1
156,1
157,0
158,0
159,0
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,0
168,1
169,1
170,1
171,0
172,1
173,1
174,1
175,1
176,0
177,1
178,0
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,0
192,1
193,1
194,1
195,1
196,0
197,1
198,0
199,1
200,0
201,0
202,1
203,1
204,0
205,0
206,0
207,0
208,1
209,1
210,1
211,0
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,0
220,1
221,0
222,1
223,1
224,0
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,0
239,0
240,1
241,0
242,1
243,1
244,1
245,0
246,0
247,0
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,0
264,0
265,1
266,1
267,0
268,0
269,0
270,1
271,1
272,1
273,0
274,1
275,1
276,0
277,1
278,1
279,1
280,0
281,0
282,1
283,1
284,1
285,0
286,0
287,1
288,0
289,0
290,1
291,0
292,0
293,0
294,0
295,0
296,1
297,0
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,0
317,1
318,1
319,1
320,1
321,0
322,0
323,0
324,1
325,1
326,1
327,0
328,0
329,1
330,1
331,0
332,1
333,0
334,0
335,0
336,1
337,1
338,1
339,1
340,0
341,1
342,1
343,1
344,0
345,1
346,1
347,1
348,0
349,1
350,1
351,1
352,1
353,1
354,1
355,0
356,0
357,1
358,0
359,1
360,1
361,1
362,0
363,0
364,1
365,0
366,1
367,1
368,1
369,0
370,0
371,1
372,1
373,1
374,0
375,0
376,1
377,1
378,0
379,1
380,1
381,0
382,1
383,0
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,0
396,1
397,1
398,1
399,1
400,1
401,0
402,0
403,1
404,0
405,1
406,1
407,0
408,0
409,1
410,1
411,0
412,1
413,0
414,1
415,0
416,1
417,1
418,1
419,1
420,0
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,0
429,0
430,1
431,1
432,1
433,1
434,1
435,1
436,0
437,1
438,1
439,1
440,1
441,1
442,0
443,1
444,0
445,0
446,1
447,0
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,0
456,0
457,0
458,1
459,0
460,1
461,0
462,0
463,1
464,0
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,0
473,0
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,0
482,1
483,1
484,1
485,1
486,0
487,1
488,0
489,1
490,0
491,0
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,0
501,0
502,1
503,1
504,0
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,0
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,0
522,0
523,0
524,0
525,0
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,0
534,1
535,1
536,0
537,0
538,1
539,1
540,0
541,0
542,1
543,1
544,0
545,1
546,0
547,1
548,1
549,1
550,1
551,1
552,0
553,1
554,0
555,0
556,1
557,1
558,0
559,0
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,0
571,1
572,1
573,1
574,1
575,1
576,0
577,1
578,0
579,1
580,0
581,1
582,0
583,1
584,1
585,1
586,1
587,0
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,0
596,0
597,0
598,1
599,0
600,0
601,1
602,1
603,1
604,1
605,0
606,0
607,1
608,0
609,1
610,0
611,0
612,1
613,0
614,1
615,1
616,1
617,1
618,0
619,1
620,1
621,1
622,0
623,1
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,1
633,0
634,0
635,0
636,0
637,0
638,1
639,0
640,0
641,1
642,1
643,1
644,0
645,0
646,1
647,1
648,1
649,0
650,1
651,1
652,1
653,1
654,1
655,0
656,1
657,1
658,1
659,0
660,1
661,1
662,0
663,0
664,0
665,0
