id,correct
0,1
1,1
2,1
3,0
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,0
14,1
15,1
16,1
17,1
18,0
19,1
20,1
21,0
22,1
23,1
24,1
25,1
26,1
27,0
28,1
29,1
30,1
31,1
32,0
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,0
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,0
56,1
57,1
58,1
59,1
60,1
61,0
62,0
63,1
64,1
65,1
66,1
67,0
68,1
69,1
70,0
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,0
79,0
80,1
81,1
82,1
83,0
84,1
85,1
86,0
87,1
88,1
89,0
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,0
101,1
102,0
103,1
104,1
105,0
106,0
107,1
108,0
109,0
110,0
111,1
112,1
113,1
114,0
115,0
116,1
117,0
118,1
119,0
120,1
121,0
122,1
123,1
124,1
125,1
126,0
127,1
128,1
129,1
130,1
131,0
132,1
133,0
134,1
135,1
136,1
137,1
138,1
139,1
140,0
141,1
142,1
143,1
144,0
145,1
146,1
147,1
148,0
149,1
150,1
151,1
152,1
153,1
154,1
155,0
156,1
157,1
158,0
159,1
160,1
161,1
162,1
163,0
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,0
173,0
174,1
175,0
176,0
177,1
178,1
179,1
180,1
181,1
182,1
183,0
184,1
185,1
186,1
187,0
188,1
189,1
190,1
191,1
192,0
193,1
194,1
195,1
196,0
197,1
198,1
199,0
200,1
201,1
202,1
203,1
204,1
205,0
206,0
207,0
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,0
216,1
217,0
218,1
219,1
220,1
221,0
222,1
223,1
224,1
225,0
226,1
227,1
228,1
229,1
230,0
231,1
232,0
233,0
234,0
235,1
236,0
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,0
245,1
